Disc,Grain,b_value,Err,DeS,De,DeErrS,DeErr,D0,D0_Err
13,2,486,38.6,681.9,81.8,85.8,10.3,58.3,4.6
13,9,577,35.4,1089.6,130.8,131.8,15.8,69.2,4.2
13,13,461,49,460.2,55.2,48,5.8,55.3,5.9
13,17,458,29.8,664.3,79.7,58.6,7,55,3.6
13,23,557,42.7,387.8,46.5,33.5,4,66.8,5.1
13,31,412,59.6,322.9,38.8,42.6,5.1,49.4,7.2
13,34,600,39.4,572.1,68.7,42.2,5.1,72,4.7
13,38,386,37.1,594.5,71.3,89.1,10.7,46.3,4.5
13,43,591,33.7,421.9,50.6,22.7,2.7,70.9,4
13,44,563,36.6,473.1,56.8,31.1,3.7,67.6,4.4
13,45,363,30.2,634.5,76.1,81.5,9.8,43.6,3.6
13,55,635,39.7,494.1,59.3,31.3,3.8,76.2,4.8
13,66,549,34.7,656.8,78.8,55.7,6.7,65.9,4.2
13,73,530,36.5,633.4,76,53.5,6.4,63.6,4.4
13,78,683,51.9,450,54,36.1,4.3,82,6.2
13,82,1030,96,319.6,38.3,30.5,3.7,123.6,11.5
13,89,805,61,826.5,99.2,78,9.4,96.6,7.3
13,97,1570,334,855.3,102.6,118.6,14.2,188.4,40.1
15,1,542,35.5,613.4,73.6,51.7,6.2,65,4.3
15,3,697,71.9,556.4,66.8,71.5,8.6,83.6,8.6
15,4,706,55.5,549.1,65.9,60.8,7.3,84.7,6.7
15,8,576,46.4,799.4,95.9,97,11.6,69.1,5.6
15,11,619,47,509.1,61.1,44.8,5.4,74.3,5.6
15,13,437,33.1,633.5,76,72.2,8.7,52.4,4
15,14,580,34.8,1080.1,129.6,126.3,15.2,69.6,4.2
15,29,547,38.4,951.1,114.1,118.5,14.2,65.6,4.6
15,34,517,45.7,541.9,65,74.6,9,62,5.5
15,36,444,45.9,473.4,56.8,70.6,8.5,53.3,5.5
15,39,619,60.1,490.3,58.8,48.7,5.8,74.3,7.2
15,43,569,49.9,686.5,82.4,86.8,10.4,68.3,6
15,47,723,50.7,487.6,58.5,35.9,4.3,86.8,6.1
15,52,605,40.5,720.4,86.4,63.9,7.7,72.6,4.9
15,54,333,29.4,489.9,58.8,51.5,6.2,40,3.5
15,64,432,32.1,515.8,61.9,46.3,5.6,51.8,3.9
15,70,921,65,856.8,102.8,68.2,8.2,110.5,7.8
15,72,373,30,553.8,66.5,58.1,7,44.8,3.6
15,74,1030,123,674.9,81,88.9,10.7,123.6,14.8
15,76,803,76.3,1126.9,135.2,161.9,19.4,96.4,9.2
15,77,643,41.8,814.1,97.7,74,8.9,77.2,5
15,92,842,49.7,566.5,68,29.5,3.5,101,6
15,96,1170,175,575.7,69.1,70.5,8.5,140.4,21
15,99,631,48.9,855.3,102.6,92.8,11.1,75.7,5.9
17,1,660,40.1,843.6,101.2,71.5,8.6,79.2,4.8
17,2,533,33.8,544.6,65.3,40.1,4.8,64,4.1
17,8,560,43.1,700,84,74.4,8.9,67.2,5.2
17,11,716,55.8,721.3,86.6,73.2,8.8,85.9,6.7
17,13,509,33.1,683.6,82,60,7.2,61.1,4
17,14,373,25.9,572,68.6,50,6,44.8,3.1
17,22,685,48.4,674.5,80.9,56.9,6.8,82.2,5.8
17,28,615,34.7,1027,123.2,96.6,11.6,73.8,4.2
17,42,670,37.9,1082.8,129.9,99.8,12,80.4,4.5
17,55,407,40.5,526.8,63.2,92,11,48.8,4.9
17,57,453,28.8,718.5,86.2,67.1,8,54.4,3.5
17,61,538,33.2,808.2,97,74.7,9,64.6,4
17,63,425,27.6,739.5,88.7,76.9,9.2,51,3.3
17,68,529,33,799.4,95.9,75,9,63.5,4
17,69,556,37.7,1078.3,129.4,159.2,19.1,66.7,4.5
17,71,454,35.1,572.8,68.7,59.5,7.1,54.5,4.2
17,72,429,29.8,703.7,84.4,74.5,8.9,51.5,3.6
17,76,451,33.1,567.9,68.1,58.5,7,54.1,4
17,85,727,65,535.6,64.3,54.2,6.5,87.2,7.8
17,96,696,118,483.8,58.1,82.6,9.9,83.5,14.2
17,99,679,41.2,941.6,113,82.8,9.9,81.5,4.9
